split,class_index,label,count,pct,num_samples
trainval,0,Acid anhydride,554,0.0007748663565336339,714962
trainval,1,Acyl halide,3666,0.00512754524016661,714962
trainval,2,Alcohol,191663,0.26807438717022725,714962
trainval,3,Aldehyde,18295,0.02558877255014952,714962
trainval,4,Alkane,688638,0.963181259983048,714962
trainval,5,Alkene,82601,0.11553201428887129,714962
trainval,6,Alkyne,13704,0.019167452256203827,714962
trainval,7,Amide,188459,0.26359303011908325,714962
trainval,8,Amine,302472,0.42306024655855834,714962
trainval,9,Arene,553493,0.7741572279365896,714962
trainval,10,Azo compound,491,0.0006867497853032748,714962
trainval,11,Carbamate,68448,0.09573655662818444,714962
trainval,12,Carboxylic acid,71541,0.10006266067287492,714962
trainval,13,Enamine,10040,0.014042704367504846,714962
trainval,14,Enol,2302,0.003219751539242645,714962
trainval,15,Ester,134492,0.18811069679227707,714962
trainval,16,Ether,404360,0.5655685197255239,714962
trainval,17,Haloalkane,329444,0.46078532845102255,714962
trainval,18,Hydrazine,7871,0.011008976700859626,714962
trainval,19,Hydrazone,4832,0.006758401145795161,714962
trainval,20,Imide,13297,0.01859819123254103,714962
trainval,21,Imine,5344,0.007474523121508556,714962
trainval,22,Isocyanate,826,0.0011553061561313748,714962
trainval,23,Isothiocyanate,659,0.0009217273085842325,714962
trainval,24,Ketone,62089,0.08684237763685343,714962
trainval,25,Nitrile,47141,0.06593497276778346,714962
trainval,26,Phenol,41520,0.05807301646800809,714962
trainval,27,Phosphine,596,0.0008336107373538733,714962
trainval,28,Sulfide,97134,0.13585896872840794,714962
trainval,29,Sulfonamide,32843,0.04593670712569339,714962
trainval,30,Sulfonate,8105,0.011336266822572388,714962
trainval,31,Sulfone,17123,0.023949524590118076,714962
trainval,32,Sulfonic acid,7,9.790730136706565e-06,714962
trainval,33,Sulfoxide,4143,0.005794713565196472,714962
trainval,34,Thial,47,6.573775948931551e-05,714962
trainval,35,Thioamide,5431,0.0075962079103504805,714962
trainval,36,Thiol,2573,0.0035987926631065705,714962
test,0,Acid anhydride,64,0.0008056293349781599,79441
test,1,Acyl halide,407,0.005123299052126736,79441
test,2,Alcohol,21396,0.2693319570498861,79441
test,3,Aldehyde,2028,0.02552837955212044,79441
test,4,Alkane,76492,0.9628781107992095,79441
test,5,Alkene,9180,0.1155574577359298,79441
test,6,Alkyne,1519,0.019121108747372263,79441
test,7,Amide,21188,0.2667136617112071,79441
test,8,Amine,33395,0.420374869399932,79441
test,9,Arene,61588,0.7752671794161705,79441
test,10,Azo compound,51,0.0006419858763107211,79441
test,11,Carbamate,7735,0.09736785790712604,79441
test,12,Carboxylic acid,7880,0.09919311186918593,79441
test,13,Enamine,1128,0.014199217028990067,79441
test,14,Enol,250,0.003146989589758437,79441
test,15,Ester,14945,0.18812703767575936,79441
test,16,Ether,44963,0.5659923716972344,79441
test,17,Haloalkane,36735,0.46241865031910473,79441
test,18,Hydrazine,941,0.011845268815850758,79441
test,19,Hydrazone,581,0.0073136038065986075,79441
test,20,Imide,1490,0.018756057954960284,79441
test,21,Imine,606,0.007628302765574451,79441
test,22,Isocyanate,96,0.0012084440024672399,79441
test,23,Isothiocyanate,79,0.000994448710363666,79441
test,24,Ketone,6682,0.0841127377550635,79441
test,25,Nitrile,5262,0.06623783688523559,79441
test,26,Phenol,4730,0.05954104303822963,79441
test,27,Phosphine,55,0.0006923377097468561,79441
test,28,Sulfide,10870,0.13683110736269685,79441
test,29,Sulfonamide,3643,0.04585793230195995,79441
test,30,Sulfonate,909,0.011442454148361677,79441
test,31,Sulfone,1926,0.024244407799499,79441
test,32,Sulfonic acid,3,3.7763875077101246e-05,79441
test,33,Sulfoxide,403,0.005072947218690601,79441
test,34,Thial,1,1.2587958359033748e-05,79441
test,35,Thioamide,602,0.007577950932138316,79441
test,36,Thiol,291,0.003663095882478821,79441
train,0,Acid anhydride,493,0.0007757414782517022,635521
train,1,Acyl halide,3272,0.00514853167715937,635521
train,2,Alcohol,170254,0.26789673354617705,635521
train,3,Aldehyde,16210,0.02550663156685617,635521
train,4,Alkane,612179,0.9632710799485776,635521
train,5,Alkene,73533,0.11570506718110023,635521
train,6,Alkyne,12232,0.019247200328549333,635521
train,7,Amide,167476,0.2635255168593957,635521
train,8,Amine,269046,0.42334714352476155,635521
train,9,Arene,492035,0.7742230390498505,635521
train,10,Azo compound,446,0.0007017864083169557,635521
train,11,Carbamate,60858,0.09576080098061275,635521
train,12,Carboxylic acid,63670,0.10018551707968737,635521
train,13,Enamine,8950,0.01408293353012725,635521
train,14,Enol,2012,0.0031659063980576567,635521
train,15,Ester,119426,0.18791825919206445,635521
train,16,Ether,359235,0.5652606286810349,635521
train,17,Haloalkane,292933,0.46093362768500173,635521
train,18,Hydrazine,6983,0.010987835177751797,635521
train,19,Hydrazone,4289,0.006748793509577181,635521
train,20,Imide,11813,0.018587898747641697,635521
train,21,Imine,4713,0.00741596265111617,635521
train,22,Isocyanate,727,0.0011439433157991632,635521
train,23,Isothiocyanate,587,0.000923651618121195,635521
train,24,Ketone,55185,0.08683426668827623,635521
train,25,Nitrile,41934,0.06598365750305654,635521
train,26,Phenol,36810,0.05792098136804291,635521
train,27,Phosphine,541,0.0008512700603127198,635521
train,28,Sulfide,86335,0.13584916942162414,635521
train,29,Sulfonamide,29136,0.04584584931103772,635521
train,30,Sulfonate,7154,0.011256905751344172,635521
train,31,Sulfone,15203,0.023922104855701072,635521
train,32,Sulfonic acid,7,1.1014584883898407e-05,635521
train,33,Sulfoxide,3656,0.0057527603336475115,635521
train,34,Thial,41,6.451399717711925e-05,635521
train,35,Thioamide,4817,0.007579607912248376,635521
train,36,Thiol,2272,0.003575019550888169,635521
val,0,Acid anhydride,61,0.0007678654599010586,79441
val,1,Acyl halide,394,0.004959655593459297,79441
val,2,Alcohol,21409,0.26949560050855353,79441
val,3,Aldehyde,2085,0.026245893178585365,79441
val,4,Alkane,76459,0.9624627081733613,79441
val,5,Alkene,9068,0.11414760639971804,79441
val,6,Alkyne,1472,0.018529474704497676,79441
val,7,Amide,20983,0.26413313024760515,79441
val,8,Amine,33426,0.4207650961090621,79441
val,9,Arene,61458,0.7736307448294961,79441
val,10,Azo compound,45,0.0005664581261565187,79441
val,11,Carbamate,7590,0.09554260394506615,79441
val,12,Carboxylic acid,7871,0.09907982024395463,79441
val,13,Enamine,1090,0.013720874611346785,79441
val,14,Enol,290,0.003650507924119787,79441
val,15,Ester,15066,0.18965018063720246,79441
val,16,Ether,45125,0.5680316209513979,79441
val,17,Haloalkane,36511,0.4595989476466812,79441
val,18,Hydrazine,888,0.011178107022821968,79441
val,19,Hydrazone,543,0.006835261388955325,79441
val,20,Imide,1484,0.018680530204806083,79441
val,21,Imine,631,0.007943001724550295,79441
val,22,Isocyanate,99,0.001246207877544341,79441
val,23,Isothiocyanate,72,0.0009063330018504299,79441
val,24,Ketone,6904,0.086907264510769,79441
val,25,Nitrile,5207,0.06554549917548873,79441
val,26,Phenol,4710,0.05928928387104895,79441
val,27,Phosphine,55,0.0006923377097468561,79441
val,28,Sulfide,10799,0.13593736231920545,79441
val,29,Sulfonamide,3707,0.046663561636938106,79441
val,30,Sulfonate,951,0.011971148399441094,79441
val,31,Sulfone,1920,0.024168880049344796,79441
val,32,Sulfonic acid,0,0.0,79441
val,33,Sulfoxide,487,0.0061303357208494355,79441
val,34,Thial,6,7.552775015420249e-05,79441
val,35,Thioamide,614,0.007729006432446722,79441
val,36,Thiol,301,0.003788975466069158,79441
